1000051518591150174 | B dd16  B420                  
1000051518591270079 | B dd16  B426                  
1000051518591287518 | B dd16  B421                  
1000051518591304329 | B dd16  B424                  
1000051518591331119 | B dd16  B427                  
1000051518591345241 | B dd16  B433                  
1000051518591364196 | B dd16  B434                  
1000051518591389650 | B dd16  B441                  
1000051518591522621 | B dd16  B442                  
1000051518591577580 | B dd16  B442                  
1000051518591603319 | B dd16  B442                  
1000051518591668521 | B dd16  B442                  
1000051518591697703 | B dd16  B443                  
1000051518591726554 | B dd16  B452                  
1000051518591768316 | B dd16  B449                  
1000051518591794623 | B dd16  B458                  
1000051518591816712 | B dd16  B465                  
1000051518591834422 | B dd16  B464                  
1000051518591851055 | B dd16  B466                  
1000051518591870589 | B dd16   B472                 
1000051518591890793 | B dd16  B474                  
1000051518591924201 | B dd16  B469                  
1000051518591940906 | B dd16  B468                  
1000051518591959407 | B dd16  B468                  
1000051518591974594 | B dd16  B413                  
1000051518591997740 | B dd16  B414                  
1000051518592014426 | B dd16  B410                  
1000051518592130573 | B dd16  B405                  
1000051518592176405 | B dd16  B425                  
1000051518592237749 | B dd16  B431                  
1000051518592263438 | B dd16  B430                  
1000051518592278233 | B dd16  B432                  
1000051518592291471 | B dd16  B401                  
1000051518592307267 | B dd16   B402                 
1000051518592331906 | B dd16  B397                  
1000051518592347714 | B dd16  B408                  
1000051518592359246 | B dd16  B406                  
1000051518592383271 | B dd16  B411                  
1000051518592394885 | B dd16  B407                  
1000051518593274670 | B dd16  B396 3433             
1000051518593490963 | B dd16  B396 B430             
1000051518593615201 | B dd16  B397 3434             
1000051518593895557 | B dd16   B402 3442            
1000051518594070204 | B dd16  B401 3441             
1000051518594544007 | B dd16  B405 3443             
1000051518594713553 | B dd16  B405                  
1000051518594830125 | B dd16  B397 3443             
1000051518595221085 | B dd16  B407 3449             
1000051518596182627 | B dd16  B411 3458             
1000051518596302513 | B dd16  B397 3452             
1000051518596573058 | B dd16  B414 3465             
1000051518596725704 | B dd16  B413 3464             
1000051518596792392 | B dd16  B413 3466             
1000051518596857271 | B dd16  B413 3469             
1000051518596953085 | B dd16  B413 3472             
1000051518597027087 | B dd16  B413 3474             
1000051518597083750 | B dd16  B413 3468             
1000051518597267995 | B dd16  B411 24               
1000051518597288327 | B dd16  B411 3467             
1000051518597354266 | B dd16  B411 3467             
1000051518597591697 | B dd16  B414 3477             
1000051518597682503 | B dd16  B414 3487             
1000051518597756602 | B dd16  B414 3477             
